EmployeeID,Age,Department,JobRole,Gender,MaritalStatus,Education,YearsAtCompany,DistanceFromHome_km,MonthlyIncome,JobSatisfaction,WorkLifeBalance,OverTime,PerformanceRating,Attrition
1001,31,IT,Software Engineer,Female,Married,Bachelor's,1,23,59439,2,1,No,1,Yes
1002,25,R&D,Lab Technician,Male,Married,High School,11,5,43526,2,2,No,1,No
1003,43,Finance,Financial Analyst,Male,Single,Bachelor's,8,3,40831,2,2,Yes,4,Yes
1004,41,Finance,Accountant,Male,Married,Master's,13,23,29742,2,1,No,1,No
1005,38,IT,Software Engineer,Female,Single,Bachelor's,17,21,68726,2,2,No,3,No
1006,45,R&D,Lab Technician,Female,Single,Master's,9,26,78183,2,3,No,1,No
1007,40,Sales,Sales Executive,Female,Single,PhD,17,27,50450,3,2,No,4,No
1008,50,R&D,Lab Technician,Male,Single,Bachelor's,17,25,34697,2,1,No,1,No
1009,33,HR,HR Manager,Female,Married,High School,8,11,36443,2,1,Yes,2,Yes
1010,44,HR,HR Manager,Female,Married,PhD,7,21,68514,3,4,No,1,No
1011,55,Sales,Sales Executive,Male,Married,Bachelor's,12,20,59089,4,2,Yes,4,No
1012,43,IT,IT Support,Male,Married,Bachelor's,7,12,36287,4,3,No,2,No
1013,27,Sales,Sales Executive,Female,Single,Bachelor's,2,29,47210,4,1,No,3,No
1014,49,IT,Software Engineer,Male,Single,Master's,12,4,66437,4,4,No,4,No
1015,42,Sales,Sales Manager,Male,Married,Master's,16,3,58481,4,2,Yes,1,No
1016,23,Finance,Financial Analyst,Male,Married,Bachelor's,1,22,40943,2,2,No,2,Yes
1017,39,HR,HR Manager,Female,Single,Bachelor's,14,16,47860,4,4,No,1,No
1018,25,Finance,Financial Analyst,Female,Single,Master's,16,4,54705,1,3,Yes,2,Yes
1019,44,IT,IT Support,Male,Single,Bachelor's,15,6,43594,3,3,No,2,No
1020,29,IT,Software Engineer,Male,Divorced,Master's,8,10,56294,3,2,No,4,No
1021,34,Operations,Supervisor,Male,Single,High School,2,29,23336,2,4,No,3,No
1022,50,Sales,Sales Manager,Female,Single,Bachelor's,10,9,65263,1,1,No,3,No
1023,47,Sales,Sales Manager,Male,Married,High School,3,21,55634,1,3,Yes,3,No
1024,35,Operations,Supervisor,Male,Married,Bachelor's,19,16,49298,2,4,Yes,1,No
1025,48,Sales,Sales Manager,Female,Single,Master's,2,24,15000,3,1,Yes,4,No
1026,39,Finance,Accountant,Female,Married,Master's,8,25,70724,1,2,No,2,Yes
1027,29,Operations,Supervisor,Female,Single,Bachelor's,3,19,30271,3,2,No,2,No
1028,33,Sales,Sales Manager,Male,Single,Master's,18,10,59717,4,3,No,1,No
1029,39,HR,HR Executive,Female,Single,Bachelor's,4,14,69579,3,2,Yes,2,No
1030,24,Sales,Sales Manager,Male,Single,Bachelor's,5,7,73075,1,1,Yes,3,Yes
1031,40,R&D,Research Scientist,Male,Single,Bachelor's,5,29,40060,1,1,Yes,3,Yes
1032,36,IT,Software Engineer,Male,Married,Master's,2,18,42129,2,2,No,4,No
1033,38,R&D,Research Scientist,Female,Single,High School,1,28,49228,2,4,Yes,1,Yes
